,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-01-01,1048.554008615,-94.96696614879146,2839.29685679098,1048.554008615,1048.554008615,301.4372851688139,301.4372851688139,301.4372851688139,-3.420223249920253,-3.420223249920253,-3.420223249920253,304.85750841873414,304.85750841873414,304.85750841873414,0.0,0.0,0.0,1349.991293783814
1,2016-01-02,1044.4790531961619,-143.3985667848838,2748.8011502947024,1044.4790531961619,1044.4790531961619,283.19737119986746,283.19737119986746,283.19737119986746,15.250031230155889,15.250031230155889,15.250031230155889,267.9473399697116,267.9473399697116,267.9473399697116,0.0,0.0,0.0,1327.6764243960292
2,2016-01-03,1040.4040977773238,-140.42619662214196,2802.2168539180293,1040.4040977773238,1040.4040977773238,224.31545943105135,224.31545943105135,224.31545943105135,-8.873526080163742,-8.873526080163742,-8.873526080163742,233.1889855112151,233.1889855112151,233.1889855112151,0.0,0.0,0.0,1264.7195572083751
3,2016-01-04,1036.3291423584858,-257.0874126178004,2654.8444649186204,1036.3291423584858,1036.3291423584858,219.4872668659695,219.4872668659695,219.4872668659695,18.71510960120384,18.71510960120384,18.71510960120384,200.77215726476564,200.77215726476564,200.77215726476564,0.0,0.0,0.0,1255.8164092244554
4,2016-01-05,1032.2541869396478,-254.87347480126928,2583.6823541435715,1032.2541869396478,1032.2541869396478,166.39232175033365,166.39232175033365,166.39232175033365,-4.365338354129089,-4.365338354129089,-4.365338354129089,170.7576601044627,170.7576601044627,170.7576601044627,0.0,0.0,0.0,1198.6465086899814
5,2016-01-06,1028.1792315208097,-253.3417636811506,2558.1328202487502,1028.1792315208097,1028.1792315208097,144.23820370862896,144.23820370862896,144.23820370862896,1.1556028479988378,1.1556028479988378,1.1556028479988378,143.08260086063012,143.08260086063012,143.08260086063012,0.0,0.0,0.0,1172.4174352294388
6,2016-01-07,1024.1042761019717,-359.9092828254797,2525.8240060358567,1024.1042761019717,1024.1042761019717,99.10768862315189,99.10768862315189,99.10768862315189,-18.461655995281017,-18.461655995281017,-18.461655995281017,117.56934461843291,117.56934461843291,117.56934461843291,0.0,0.0,0.0,1123.2119647251236
7,2016-01-08,1020.0293206831337,-345.11292257626,2482.1678384577494,1020.0293206831337,1020.0293206831337,90.51767562680715,90.51767562680715,90.51767562680715,-3.4202232499292773,-3.4202232499292773,-3.4202232499292773,93.93789887673643,93.93789887673643,93.93789887673643,0.0,0.0,0.0,1110.5469963099408
8,2016-01-09,1015.9543652642957,-293.4165745957429,2545.0990342125924,1015.9543652642957,1015.9543652642957,87.07134178546704,87.07134178546704,87.07134178546704,15.250031230253821,15.250031230253821,15.250031230253821,71.82131055521323,71.82131055521323,71.82131055521323,0.0,0.0,0.0,1103.0257070497628
9,2016-01-10,1011.8794098454575,-339.66525088384697,2484.315991571183,1011.8794098454575,1011.8794098454575,41.910051082727726,41.910051082727726,41.910051082727726,-8.873526080131848,-8.873526080131848,-8.873526080131848,50.78357716285958,50.78357716285958,50.78357716285958,0.0,0.0,0.0,1053.7894609281852
10,2016-01-11,1007.8044544266196,-312.81013711690747,2560.489858451622,1007.8044544266196,1007.8044544266196,49.05461385947742,49.05461385947742,49.05461385947742,18.715109601209882,18.715109601209882,18.715109601209882,30.339504258267535,30.339504258267535,30.339504258267535,0.0,0.0,0.0,1056.859068286097
